FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202404;513881387;UR-RE2-1645;87088055;NL;NL;10;EXW;11;3;;2,6;1;57;;
INTRA-CH;202404;513881387;UR-LA4-1192;87088055;NL;NL;10;EXW;11;3;;3,8;1;68;;
INTRA-CH;202404;513881387;UR-LA4-1445;87088055;NL;NL;10;EXW;11;3;;5;1;77;;
INTRA-CH;202404;513881387;UR-TW2-1412;87088055;NL;NL;10;EXW;11;3;;2;1;64;;
INTRA-CH;202404;513881387;UR-RL2-988;87088055;NL;NL;10;EXW;11;3;;2,2;2;97;;
INTRA-CH;202404;513881387;UR-RT2-3515;87088055;NL;NL;10;EXW;11;3;;2;1;49;;
INTRA-CH;202404;513881387;UR-RT2-3515;87088055;NL;NL;10;EXW;11;3;;2;1;49;;
INTRA-CH;202404;513881387;UR-TW2-4172;87088055;NL;NL;10;EXW;11;3;;3;2;142;;
INTRA-CH;202404;513881387;UR-RL2-2434;87088055;NL;NL;10;EXW;11;3;;2,8;1;40;;
INTRA-CH;202404;513881387;UR-TW2-323;87088055;NL;NL;10;EXW;11;3;;3;4;229;;
INTRA-CH;202404;513881387;UR-ML4-3054;87088055;NL;NL;10;EXW;11;3;;1,9;3;192;;
INTRA-CH;202404;513881387;UR-TW2-990;87088055;NL;NL;10;EXW;11;3;;3,4;2;128;;
INTRA-CH;202404;513881387;UR-LA4-1233;87088055;NL;NL;10;EXW;11;3;;2,5;1;64;;
INTRA-CH;202404;513881387;UR-TW2-1715;87088055;NL;NL;10;EXW;11;3;;3,6;1;60;;
INTRA-CH;202404;513881387;UR-LA4-3887;87088055;NL;NL;10;EXW;11;3;;3,4;1;68;;
INTRA-CH;202404;513881387;UR-LA4-3053;87088055;NL;NL;10;EXW;11;3;;3,6;1;68;;
INTRA-CH;202404;513881387;UR-TW2-1345;87088055;NL;NL;10;EXW;11;3;;2,5;2;136;;
INTRA-CH;202404;513881387;UR-TW2-305;84099100;NL;NL;10;EXW;11;3;;2,5;2;142;;
