FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
INTRA-EX;202404;513881387;CTS-IT-260;84213100;ES;PT;10;EXW;11;3;;5;1;240;;ESB09775594;
INTRA-EX;202404;513881387;1300.34.14.14.5;;ES;PT;10;EXW;11;3;;0,1;1;1224;;QV999999999999;
INTRA-EX;202404;513881387;AC-S55-DP;87089235;FR;PT;10;EXW;11;3;;5,4;1;219;;FR24849994223;
INTRA-EX;202404;513881387;50003-M55RET/M45REL;84213100;ES;PT;10;EXW;11;3;;1;1;110;;ES77858629h;
INTRA-EX;202404;513881387;CTS-IT-260;84213100;ES;PT;10;EXW;11;3;;5;1;291;;ESB09775594;
INTRA-EX;202404;513881387;1300.34.14.14.5;;ES;PT;10;EXW;11;3;;0,1;1;1224;;ES72889637S;
INTRA-EX;202404;513881387;AC-180S-TH-BL;40091100;FR;PT;10;EXW;11;3;;0,3;1;35;;FR61510684905;
INTRA-EX;202404;513881387;VWR12G7R600ITINLET;87089997;FR;PT;10;EXW;11;3;;0,4;1;171;;FR19980130553;
INTRA-EX;202404;513881387;ESR1581WRD;84213100;CZ;PT;10;EXW;11;3;;4,5;1;312;;QV999999999999;
INTRA-EX;202404;513881387;1033BLK;84213100;CZ;PT;10;EXW;11;3;;0,3;1;23;;QV999999999999;
INTRA-EX;202404;513881387;AC-500-QS;87089997;DE;PT;10;EXW;11;3;;0,4;1;37;;QV999999999999;
INTRA-EX;202404;513881387;CTS-IT-220R;84213100;BE;PT;10;EXW;11;3;;4,5;1;278;;QV999999999999;
INTRA-EX;202404;513881387;UR-TW2-3212;87088055;BE;PT;10;EXW;11;3;;3,2;1;122;;QV999999999999;
INTRA-EX;202404;513881387;FMDV008-BK;84814090;BE;PT;10;EXW;11;3;;0,5;1;133;;QV999999999999;
INTRA-EX;202404;513881387;ATMSFO124;87089997;BE;PT;10;EXW;11;3;;2,9;1;153;;QV999999999999;
INTRA-EX;202404;513881387;GTHSB-5;87089997;BE;PT;10;EXW;11;3;;0,1;1;20;;QV999999999999;
INTRA-EX;202404;513881387;ATINTP&C4-BK;40091100;NL;PT;10;EXW;11;3;;1,7;1;146;;QV999999999999;
INTRA-EX;202404;513881387;ACSP1;84099100;ES;PT;10;EXW;11;3;;0,5;1;22;;ES43488681m;
INTRA-EX;202404;513881387;SP-130;32081090;ES;PT;10;EXW;11;3;;0,5;1;21;;ES43488681m;
INTRA-EX;202404;513881387;1J0121407E;87089997;ES;PT;10;EXW;11;3;;0,9;1;10;;ES43488681m;
INTRA-EX;202404;513881387;MMFW-SM-6BK;87089997;ES;PT;10;EXW;11;3;;0,1;1;12;;ES43488681m;
INTRA-EX;202404;513881387;8E0971824S-RD;84099100;ES;PT;10;EXW;11;3;;0,2;1;14;;ES43488681m;
INTRA-EX;202404;513881387;ACCLAMPHX10-16;40093100;ES;PT;10;EXW;11;3;;0,2;4;3;;ES43488681m;
INTRA-EX;202404;513881387;ACCLAMPHX16-25;40093100;ES;PT;10;EXW;11;3;;0,2;8;8;;ES43488681m;
INTRA-EX;202404;513881387;ACCLAMPHX23-35;40093100;ES;PT;10;EXW;11;3;;0,2;8;9;;ES43488681m;
INTRA-EX;202404;513881387;ACCLAMPHX30-45;40093100;ES;PT;10;EXW;11;3;;0,2;10;12;;ES43488681m;
INTRA-EX;202404;513881387;SH-6-RD;40093100;ES;PT;10;EXW;11;3;;0,2;1;3;;ES43488681m;
INTRA-EX;202404;513881387;VWR180000;87089997;ES;PT;10;EXW;11;3;;0,1;1;15;;ES43488681m;
INTRA-EX;202404;513881387;TTEIS38;84099100;ES;PT;10;EXW;11;3;;12,4;1;1637;;ES45367300F;
INTRA-EX;202404;513881387;MMAI-RS-16WBK;87089910;ES;PT;10;EXW;11;3;;7,1;1;356;;QV999999999999;
INTRA-EX;202404;513881387;BKR7EIX-4;84099100;ES;PT;10;EXW;11;3;;0,8;1;38;;QV999999999999;
INTRA-EX;202404;513881387;MS100208-4;84099100;ES;PT;10;EXW;11;3;;1,1;1;123;;QV999999999999;
INTRA-EX;202404;513881387;SILZKBR8D8S-6;84099100;FR;PT;10;EXW;11;3;;0,2;1;62;;QV999999999999;
INTRA-EX;202404;513881387;D650-0003-6;84099100;FR;PT;10;EXW;11;3;;1,8;1;171;;QV999999999999;
INTRA-EX;202404;513881387;5B7880H-STD;40091100;FR;PT;10;EXW;11;3;;0,3;1;54;;QV999999999999;
INTRA-EX;202404;513881387;SILZKBR8D8S-6;84099100;FR;PT;10;EXW;11;3;;0,2;1;62;;QV999999999999;
INTRA-EX;202404;513881387;06E898001-5;84099100;FR;PT;10;EXW;11;3;;1,6;1;131;;QV999999999999;
INTRA-EX;202404;513881387;MMFS-WRX-01P;84149000;FR;PT;10;EXW;11;3;;5,4;1;215;;QV999999999999;
INTRA-EX;202404;513881387;ATINTP&C7;87089997;FR;PT;10;EXW;11;3;;12,9;1;562;;FR41898071535;
INTRA-EX;202404;513881387;AC-200-OSA;87089997;FR;PT;10;EXW;11;3;;0,2;1;27;;QV999999999999;
INTRA-EX;202404;513881387;216BFWAOPSM;90269000;FR;PT;10;EXW;11;3;;0,4;1;46;;QV999999999999;
INTRA-EX;202404;513881387;VWR180004;87089997;FR;PT;10;EXW;11;3;;0,1;1;38;;QV999999999999;
INTRA-EX;202404;513881387;AC-UNI-WD;87089997;FR;PT;10;EXW;11;3;;0,1;1;13;;QV999999999999;
INTRA-EX;202404;513881387;SHD0390-6P-BK;87083091;FR;PT;10;EXW;11;3;;0,7;1;162;;QV999999999999;
INTRA-EX;202404;513881387;UR-TW2-2142;87088055;FR;PT;10;EXW;11;3;;3,4;1;149;;QV999999999999;
