Tipo Doc.;N.º Doc.;Refª Cliente;Data;Cliente;Contribuinte;País;Zona geográfica;Vendedor;Método de Pagamento;Valor Pgto.;Comissão Pgto.;Cód. Artigo;Código EAN;Artigos;Qtd.;Uni.;Preço unitário sem IVA;Total Artigo;Total Ilíq.;Desc.;Total Liq.;Impostos;Desc. Financeiro;Total;Acumulado;Local de Descarga;Observações
Fatura-Recibo;2024LT/7;;03/06/2024;Augustas Malisauskas;LT999999990;Lituânia;;;Transferência Bancária;217,75;---;;;;;;;;179,95;0;179,95;37,8;0;217,75;217,75;Sventupes 18;
Fatura-Recibo;2024LT/7;;03/06/2024;Augustas Malisauskas;LT999999990;França;;;;;;TI-123-BK;;Golf 6 GTI / Scirocco / Leon 2 FR  2.0 TSI EA888 Ramair Crossover Intake Pipe;1;Uni.;97,32231;97,32;97,32;0;97,32;20,44;0;117,76;117,76;;
Fatura-Recibo;2024LT/7;;03/06/2024;Augustas Malisauskas;LT999999990;França;;;;;;AC-200-QS;;Golf 4 / 5 / 6 / 7 GTI / R / R32 , Leon , S3 , TT , Octavia Alpha Competition Short Shift Kit (02M / 02Q);1;Uni.;74,3719;74,37;74,37;0;74,37;15,62;0;89,99;207,75;;
Fatura-Recibo;2024LT/7;;03/06/2024;Augustas Malisauskas;LT999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;8,26446;8,26;8,26;0;8,26;1,74;0;10;217,75;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024AT/7;;03/06/2024;Roman Weber;AT999999990;Áustria;;;Transferência Bancária;66,88;---;;;;;;;;55,74;0;55,74;11,14;0;66,88;284,63;Breitenseerstraße 18;
Fatura-Recibo;2024AT/7;;03/06/2024;Roman Weber;AT999999990;França;;;;;;ATMSP3081;;Peugeot 308 GTI Airtec Engine Cover;1;Uni.;49,06667;49,07;49,07;0;49,07;9,81;0;58,88;58,88;;
Fatura-Recibo;2024AT/7;;03/06/2024;Roman Weber;AT999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,66667;6,67;6,67;0;6,67;1,33;0;8;66,88;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024LT/8;;03/06/2024;Artur Misun;LT999999990;Lituânia;;;Transferência Bancária;89,99;---;;;;;;;;74,37;0;74,37;15,62;0;89,99;374,62;Vilniaus g.20 Vilniaus rajonas;
Fatura-Recibo;2024LT/8;;03/06/2024;Artur Misun;LT999999990;França;;;;;;FMINLH12-RD;;Honda Civic Type R FK8 Forge Inlet Hose Kit - Color : Red;1;Uni.;66,10744;66,11;66,11;0;66,11;13,88;0;79,99;79,99;;
Fatura-Recibo;2024LT/8;;03/06/2024;Artur Misun;LT999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;8,26446;8,26;8,26;0;8,26;1,74;0;10;89,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024LT/9;;03/06/2024;Mindaugas Varza;LT999999990;Lituânia;;;Transferência Bancária;68,65;---;;;;;;;;56,73;0;56,73;11,92;0;68,65;443,27;raudondvario pl. 168 869855955;
Fatura-Recibo;2024LT/9;;03/06/2024;Mindaugas Varza;LT999999990;França;;;;;;WB-567;;Audi S1 / Polo 6C GTI / Ibiza 6P Cupra ITG Profilter Panel Air filter;1;Uni.;48,47107;48,47;48,47;0;48,47;10,18;0;58,65;58,65;;
Fatura-Recibo;2024LT/9;;03/06/2024;Mindaugas Varza;LT999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;8,26446;8,26;8,26;0;8,26;1,74;0;10;68,65;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BG/14;;03/06/2024;En Ai Partner LTD;BG206125482;Bulgária;;;Card;415,99;---;;;;;;;;415,99;0;415,99;0;0;415,99;859,26;Krastan Mladenov 6A;
Fatura-Recibo;2024BG/14;;03/06/2024;En Ai Partner LTD;BG206125482;Bulgária;;;;;;MMRA-LC;;MISHIMOTO Liquid Chill Radiator Coolant Additive;2;Uni.;12,7335;25,47;25,47;0;25,47;0;0;25,47;25,47;;
Fatura-Recibo;2024BG/14;;03/06/2024;En Ai Partner LTD;BG206125482;Bulgária;;;;;;9-421-1000;;DeatschWerks 9-421-1000 DW420 series, 420lph in-tank fuel pump w /Universal Install Kit. Fits Most;1;Uni.;122,85;122,85;122,85;0;122,85;0;0;122,85;148,32;;
Fatura-Recibo;2024BG/14;;03/06/2024;En Ai Partner LTD;BG206125482;Bulgária;;;;;;6-1002-FRB;;DEATSCHWERKS DWR1000c FUEL PRESSURE REGULATOR - BLACK;1;Uni.;90,3;90,3;90,3;0;90,3;0;0;90,3;238,62;;
Fatura-Recibo;2024BG/14;;03/06/2024;En Ai Partner LTD;BG206125482;Bulgária;;;;;;9-301-1000;;DeatschWerks 9-301-1000 DW300 series, 340lph in-tank fuel pump w /Universal Install Kit. Fits Most;1;Uni.;109,85;109,85;109,85;0;109,85;0;0;109,85;348,47;;
Fatura-Recibo;2024BG/14;;03/06/2024;En Ai Partner LTD;BG206125482;Bulgária;;;;;;MMTS-S2K-00L;;MISHIMOTO Performance Thermostat, 68C/155F;1;Uni.;35,52;35,52;35,52;0;35,52;0;0;35,52;383,99;;
