Eventuri;price;reference;width;height;depth;weight;name
Eventuri;85.000000;EVE-1046-FTR;0.000000;0.000000;0.000000;0.000000;Eventuri Replacement Filter TYPE L2
Eventuri;85.000000;EVE-151-G2-FTR;19.000000;17.000000;17.000000;0.500000;Eventuri Replacement Filter TYPE S
Eventuri;85.000000;EVE-15144-G2-FTR;18.000000;24.000000;20.000000;0.600000;Eventuri Replacement Filter TYPE L
Eventuri;885.000000;EVE-2TFSI-CF-INT;38.000000;38.000000;38.000000;3.500000;Eventuri Audi S3 8V 2.0 TFSI Full Black Carbon intake
Eventuri;2719.000000;EVE-4V8TT-CF-INT;96.000000;76.000000;22.000000;7.400000;Eventuri Audi SQ7 / SQ8 2020+ 4.0 TFSI V8 Twin Turbo Intake
Eventuri;85.000000;EVE-661-G2-FTR;19.000000;19.000000;20.000000;0.550000;Eventuri Replacement Filter TYPE B
Eventuri;1647.000000;EVE-8VRS3-CF-LHD-INT;91.000000;31.000000;39.000000;5.100000;Eventuri Audi 8V RS3 LHD Full Black Carbon intake Gen 1
Eventuri;1647.000000;EVE-8VRS3-CF-RHD-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Audi 8V RS3 RHD Full Black Carbon intake Gen 1
Eventuri;1333.000000;EVE-8YS3-CF-INT;90.000000;38.000000;31.000000;4.860000;Eventuri Audi S3 8Y 2020+, TTS 2022+ Carbon Intake
Eventuri;85.000000;EVE-991-FTR;0.000000;0.000000;0.000000;0.000000;Eventuri Replacement Filter TYPE E
Eventuri;714.000000;EVE-A35-CF-CHG;57.000000;38.000000;13.000000;2.000000;Eventuri Mercedes A35 AMG, GLA35, GLB35, Turbo Tube
Eventuri;1238.000000;EVE-A35-CF-INT;90.000000;39.000000;33.000000;4.200000;Eventuri Mercedes A35 AMG, GLA35, GLB35, A250 Carbon Intake
Eventuri;1333.000000;EVE-A45S-CF-INT;38.000000;39.000000;38.000000;4.600000;Eventuri Mercedes A45S CLA45S GLA45 GLB45 AMG Carbon Intake
Eventuri;570.000000;EVE-A90-CF-ENG;72.000000;22.000000;73.000000;3.500000;Eventuri Toyota MK5 Supra Carbon Engine cover
Eventuri;790.000000;EVE-A90-CF-HDP;39.000000;22.000000;90.000000;2.900000;Eventuri Toyota MK5 Supra Carbon Headlamp Duct
Eventuri;1333.000000;EVE-A90-CF-INT;38.000000;39.000000;38.000000;3.900000;Eventuri Toyota MK5 3.0 B58 Supra Carbon Intake
Eventuri;1333.000000;EVE-A90B48-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Toyota MK5 2.0 B48 Supra Carbon Intake
Eventuri;2380.000000;EVE-AMGGT-CF-INT;75.000000;67.000000;27.000000;7.760000;Eventuri Mercedes C190/R190 AMG GTR, GTS, GT GLOSS Finish
Eventuri;2380.000000;EVE-AMGGT-CFM-INT;75.000000;67.000000;27.000000;7.760000;Eventuri Mercedes C190/R190 AMG GTR, GTS, GT MATTE Finish
Eventuri;1238.000000;EVE-B58-CF-INT;31.000000;39.000000;91.000000;4.960000;Eventuri BMW B58 M140i, M240i, M340i Black Carbon intake
Eventuri;619.000000;EVE-B58F-CF-ENG;72.000000;73.000000;22.000000;3.100000;Eventuri BMW B58 M140i, M240i, M340i F Series Carbon Engine Cover
Eventuri;1571.000000;EVE-B9RS5-CF-INT;91.000000;39.000000;30.000000;4.800000;Eventuri Audi B9 RS5/RS4 Black Carbon intake with secondary duct
Eventuri;1380.000000;EVE-B9S5-CF-INT;38.000000;38.000000;38.000000;3.400000;Eventuri Audi B9 S5/S4 Black Carbon intake
Eventuri;114.000000;EVE-C63-FTR;30.000000;20.000000;8.000000;1.150000;Eventuri Panel Filter for Eventuri GLC63S / C63S Intake set of 2
Eventuri;2714.000000;EVE-C63S-CF-INT;91.000000;40.000000;32.000000;6.300000;Eventuri Mercedes all X205 C63/C63S variants, AMG Carbon intake
Eventuri;162.000000;EVE-C63S-DCT;0.000000;0.000000;0.000000;0.000000;Eventuri C63S Carbon Duct upgrade package
Eventuri;2238.000000;EVE-C7RS6-CF-INT;92.000000;31.000000;40.000000;6.000000;Eventuri Audi C7 RS6 RS7 Black Carbon intake
Eventuri;2238.000000;EVE-C7S6-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Audi C7 S6 S7 Black Carbon intake
Eventuri;252.000000;EVE-C8BMC-FTR;70.000000;20.000000;5.000000;0.700000;Eventuri Custom BMC Panel Filter For C8 RS6 Intake
Eventuri;2280.000000;EVE-C8HTC-CF-INT;39.000000;39.000000;32.000000;2.900000;Eventuri C8 Corvette Stingray Hard Top Convertible Carbon Intake
Eventuri;630.000000;EVE-C8RS6-CF-ENG;72.000000;72.000000;21.000000;3.300000;Eventuri Audi C8 RS6 RS7 Black Carbon Engine Cover Gloss
Eventuri;2650.000000;EVE-C8RS6-CF-INT;36.000000;20.000000;100.000000;5.000000;Eventuri Audi C8 RS6 RS7 Black Carbon intake Gloss
Eventuri;630.000000;EVE-C8RS6-CFM-ENG;0.000000;0.000000;0.000000;0.000000;Eventuri Audi C8 RS6 RS7 Black Carbon Engine Cover Matte
Eventuri;2650.000000;EVE-C8RS6-CFM-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Audi C8 RS6 RS7 Black Carbon intake Matte
Eventuri;70.000000;EVE-C8RS6-PCV;0.000000;0.000000;0.000000;0.000000;Eventuri Audi C8 RS6 2023 Breather Adapter Kit
Eventuri;438.000000;EVE-C8RS6-TTE;0.000000;0.000000;0.000000;0.000000;Eventuri Audi C8 RS6 RS7 TTE 888/1020 Hybrid Turbo Inlets
Eventuri;550.000000;EVE-C8VT-CF-ENG;71.000000;42.000000;17.000000;2.000000;Eventuri C8 Corvette Stingray Carbon Engine Cover
Eventuri;2280.000000;EVE-C8VT-CF-INT;108.000000;51.000000;38.000000;10.420000;Eventuri C8 Corvette Stingray Coupe Carbon Intake
Eventuri;1238.000000;EVE-E39-INT;90.000000;38.000000;31.000000;5.700000;Eventuri BMW E39 M5 Black Carbon intake
Eventuri;928.000000;EVE-E46-INT;39.000000;39.000000;39.000000;3.500000;Eventuri BMW E46 M3 Black Carbon intake
Eventuri;59.000000;EVE-E46-PF;46.000000;6.000000;25.000000;0.600000;Eventuri BMW E46 M3 Panel Filter Pair
Eventuri;176.000000;EVE-E46-SC;0.000000;0.000000;0.000000;0.000000;Eventuri BMW E46 M3 Carbon Scoop
Eventuri;1450.000000;EVE-E60V2-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW E6X M5/M6 Version 2 Black Carbon intake
Eventuri;571.000000;EVE-E9X-CF-ARB;73.000000;40.000000;18.000000;1.300000;Eventuri BMW E9X M3 Carbon Airbox Lid Gloss
Eventuri;670.000000;EVE-E9X-CF-DCT;52.000000;37.000000;15.000000;1.100000;Eventuri BMW E9X M3 Carbon Duct Set Gloss
Eventuri;828.000000;EVE-E9X-CF-INT;38.000000;38.000000;38.000000;3.000000;Eventuri BMW E9X M3 Black Carbon intake Gloss
Eventuri;2238.000000;EVE-E9X-CF-PLM;73.000000;61.000000;34.000000;5.600000;Eventuri BMW E9X M3 Carbon Inlet Plenum Gloss
Eventuri;571.000000;EVE-E9X-CFM-ARB;0.000000;0.000000;0.000000;0.000000;Eventuri BMW E9X M3 Carbon Airbox Lid Matte
Eventuri;670.000000;EVE-E9X-CFM-DCT;51.000000;36.000000;14.000000;1.600000;Eventuri BMW E9X M3 Carbon Duct Set Matte
Eventuri;828.000000;EVE-E9X-CFM-INT;38.000000;38.000000;30.000000;3.000000;Eventuri BMW E9X M3 Black Carbon intake Matte
Eventuri;2238.000000;EVE-E9X-CFM-PLM;76.000000;66.000000;26.000000;6.700000;Eventuri BMW E9X M3 Carbon Inlet Plenum Matte
Eventuri;570.000000;EVE-EA8884-CF-ENG;61.000000;52.000000;12.000000;2.600000;Eventuri Golf MK8 Engine Cover
Eventuri;1333.000000;EVE-EA8884-GTI-INT;90.000000;38.000000;31.000000;4.620000;Eventuri Golf MK8 Gti Carbon intake
Eventuri;1333.000000;EVE-EA8884-R-INT;90.000000;38.000000;31.000000;4.950000;Eventuri Golf MK8 R, Gti Clubsport Carbon intake
Eventuri;2110.000000;EVE-F10M5-INT;91.000000;31.000000;40.000000;5.950000;Eventuri BMW F10 M5 Full Black Carbon intake
Eventuri;114.000000;EVE-F10M5-PF;0.000000;0.000000;0.000000;0.000000;Eventuri BMW F1X M5/M6 Panel Filter Pair
Eventuri;2250.000000;EVE-F1XM6-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW F1X M6 Full Black Carbon intake
Eventuri;1238.000000;EVE-F4XB48-CF-INT;39.000000;23.000000;91.000000;3.700000;Eventuri BMW F40 M135i, F44 M235i
Eventuri;1542.000000;EVE-F56-CF-INT;91.000000;31.000000;39.000000;4.940000;Eventuri Mini Cooper S / JCW Black Carbon intake
Eventuri;1542.000000;EVE-F56-LCI-CF-INT;91.000000;31.000000;39.000000;4.940000;Eventuri Mini Cooper S / JCW Facelift Black Carbon intake
Eventuri;71.000000;EVE-F56-LCI-MAF;0.000000;0.000000;0.000000;0.000000;Eventuri Mini Cooper S/JCW Facelift MAF tube
Eventuri;952.000000;EVE-F56-LCI-PL-INT;22.000000;92.000000;40.000000;4.800000;Eventuri Mini Cooper S / JCW Facelift Plastic intake with Carbon Scoop
Eventuri;71.000000;EVE-F56-MAF;0.000000;0.000000;0.000000;0.000000;Eventuri Mini Cooper S/JCW MAF tube
Eventuri;952.000000;EVE-F56-PL-INT;22.000000;92.000000;40.000000;4.800000;Eventuri Mini Cooper S / JCW Plastic intake with Carbon Scoop
Eventuri;1305.000000;EVE-F60-306-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Mini JCW Countryman 306HP Carbon Intake with no scoop
Eventuri;1304.000000;EVE-F60-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri MINI Countryman S Black Carbon intake with no scoop
Eventuri;1304.000000;EVE-F60-LCI-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri MINI Countryman S Facelift Black Carbon intake with no scoop
Eventuri;665.000000;EVE-F60-LCI-PL-INT;0.000000;0.000000;0.000000;0.000000;Eventuri MINI Countryman S Facelift Plastic intake with no scoop
Eventuri;665.000000;EVE-F60-PL-INT;0.000000;0.000000;0.000000;0.000000;Eventuri MINI Countryman S Plastic intake with no scoop
Eventuri;714.000000;EVE-F8XM-CF-ENG;67.000000;38.000000;13.000000;1.220000;Eventuri BMW F8X M3/M4 Black Carbon Engine Cover
Eventuri;1047.000000;EVE-F8XM-CF-SBC;40.000000;89.000000;33.000000;2.000000;Eventuri BMW F8X M3/M4 Black Carbon Seat Back Covers
Eventuri;114.000000;EVE-F8XM-PF;45.000000;25.000000;5.000000;1.500000;Eventuri BMW F8X M3/M4 Panel Filter Pair
Eventuri;2392.000000;EVE-F8XMV2-CF-INT;91.000000;31.000000;39.000000;6.200000;Eventuri BMW F8X M3/M4 V2 Full Black Carbon intake with SEALED Carbon ducts
Eventuri;285.000000;EVE-F90M5-CF-SHR;0.000000;0.000000;0.000000;0.000000;Eventuri BMW F9X M5 Shroud set for upgrading V1 intake
Eventuri;2095.000000;EVE-F9XM5M8-CF-INT;91.000000;31.000000;40.000000;5.950000;Eventuri BMW F9X M5/M8 Black Carbon intake with shrouds
Eventuri;630.000000;EVE-F9XM5M8-CHG;27.000000;27.000000;27.000000;1.200000;Eventuri BMW F9X M5/M8 Turbo Inlets
Eventuri;238.000000;EVE-FK2-CF-MAF;40.000000;23.000000;30.000000;2.000000;Eventuri Honda FK2 Black Carbon MAF-TUBE and silicone hose
Eventuri;1209.000000;EVE-FK2V2-CF-LHD-INT;38.000000;38.000000;38.000000;3.700000;Eventuri V2 FK2 Civic Type R LHD Carbon intake with upgraded Carbon Tube
Eventuri;1209.000000;EVE-FK2V2-CF-RHD-INT;0.000000;0.000000;0.000000;0.000000;Eventuri V2 FK2 Civic Type R RHD Carbon intake with upgraded Carbon Tube
Eventuri;665.000000;EVE-FK2V3-CF-CHG;0.000000;0.000000;0.000000;0.000000;Eventuri FK2 V3 Oversized Carbon Turbo Tube
Eventuri;410.000000;EVE-FK2V3-CHG-UPG;0.000000;0.000000;0.000000;0.000000;Eventuri FK2 V3 Oversized Carbon Turbo Tube - Tube only Upgrade for existing owners
Eventuri;1380.000000;EVE-FK8-CF-INT;92.000000;30.000000;39.000000;5.000000;Eventuri FK8 Civic Type R Black Carbon intake
Eventuri;71.000000;EVE-FK8-CHG-SLC;30.000000;19.000000;15.000000;0.600000;Eventuri Honda FK8 Silicon between Intake and Upgraded Chargepipe
Eventuri;476.000000;EVE-FK8FK2-ENG;68.000000;14.000000;38.000000;1.300000;Eventuri FL5, FK8 and FK2 Engine Cover Red and Black
Eventuri;328.000000;EVE-FK8V2-CF-MAF;0.000000;0.000000;0.000000;0.000000;Eventuri FK8 Carbon V2 MAF Tube and Silicon Set
Eventuri;665.000000;EVE-FK8V3-CF-CHG;60.000000;45.000000;20.000000;4.000000;Eventuri FK8 V3 Oversized Carbon Turbo Tube
Eventuri;410.000000;EVE-FK8V3-CHG-UPG;0.000000;0.000000;0.000000;0.000000;Eventuri FK8 V3 Oversized Carbon Turbo Tube - Tube only Upgrade for existing owners
Eventuri;665.000000;EVE-FL5-CF-CHG;51.000000;37.000000;14.000000;1.700000;Eventuri FL5 Civic Type R / 2024 Integra Type S Carbon Turbo Tube
Eventuri;1450.000000;EVE-FL5-CF-INT;70.000000;39.000000;34.000000;3.820000;Eventuri FL5 Civic Type R / 2024 Integra Type S Carbon Intake
Eventuri;28.000000;EVE-FLC;11.000000;11.000000;20.000000;0.600000;Eventuri Filter Cleaning Kit
Eventuri;1333.000000;EVE-FX34M-CF-INT;66.000000;27.000000;74.000000;5.900000;Eventuri BMW F9X X3M/X4M Carbon Intake System
Eventuri;1333.000000;EVE-FX34M-LCI-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW F9X X3M/X4M Carbon Intake System - LCI Version
Eventuri;190.000000;EVE-FX34M-PF;45.000000;25.000000;5.000000;1.500000;Eventuri BMW F9X X3M/X4M Panel Filter Replacement Set
Eventuri;571.000000;EVE-G20B48-CF-ENG;0.000000;0.000000;0.000000;0.000000;Eventuri BMW G20, G29 Z4, B48 Engine Cover
Eventuri;1333.000000;EVE-G20B48-V1-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW G20 B48/B46 Intake System - Pre 2018 November
Eventuri;1333.000000;EVE-G20B48-V2-INT;70.000000;37.000000;34.000000;4.200000;Eventuri BMW G20/G42 B48/B46 Intake System - Post 2018 November
Eventuri;1333.000000;EVE-G20B58-V1-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW G20 B58 Intake System - Pre 2018 November
Eventuri;1333.000000;EVE-G20B58-V2-INT;90.000000;31.000000;38.000000;4.500000;Eventuri BMW G20/G42 B58 Intake System - Post 2018 November
Eventuri;1333.000000;EVE-G29Z4-B48-INT;90.000000;38.000000;29.000000;4.300000;Eventuri BMW G29 Z4 2.0 B48 Carbon Intake
Eventuri;620.000000;EVE-G8XCSL-CF-KIT;0.000000;0.000000;0.000000;0.000000;Eventuri Conversion kit for G8X M3/M4 intake for CSL Strut Brace - Gloss
Eventuri;620.000000;EVE-G8XCSL-CFM-KIT;0.000000;0.000000;0.000000;0.000000;Eventuri Conversion kit for G8X M3/M4 intake for CSL Strut Brace - Matte
Eventuri;900.000000;EVE-G8XM-CF-ENG;22.000000;72.000000;72.000000;4.160000;Eventuri BMW G8X M3/M4/CSL Carbon Engine Cover - Gloss Finish
Eventuri;900.000000;EVE-G8XM-CFM-ENG;0.000000;0.000000;0.000000;0.000000;Eventuri BMW G8X M3/M4/CSL Carbon Engine Cover - Matte Finish
Eventuri;2650.000000;EVE-G8XMV2-CF-INT;61.000000;45.000000;43.000000;7.200000;Eventuri BMW G8X M3/M4 Carbon Intake for all strut braces - Gloss Finish
Eventuri;2650.000000;EVE-G8XMV2-CFM-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW G8X M3/M4 Carbon Intake for all strut braces - Matte Finish
Eventuri;2714.000000;EVE-GLC63S-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Mercedes GLC63S carbon intake
Eventuri;570.000000;EVE-GR4-CF-ENG;61.000000;53.000000;13.000000;2.160000;Eventuri Toyota GR Yaris/Corolla Carbon Engine Cover - Gloss
Eventuri;1300.000000;EVE-GR4-CF-INT;40.000000;90.000000;31.000000;5.700000;Eventuri Toyota GR Yaris Carbon Intake - Gloss
Eventuri;570.000000;EVE-GR4-CFM-ENG;0.000000;0.000000;0.000000;0.000000;Eventuri Toyota GR Yaris/Corolla Carbon Engine Cover - Matte
Eventuri;1300.000000;EVE-GR4-CFM-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Toyota GR Yaris Carbon Intake - Matte
Eventuri;1440.000000;EVE-GR4CR-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Toyota GR Corolla Carbon Intake - Gloss
Eventuri;1440.000000;EVE-GR4CR-CFM-INT;0.000000;0.000000;0.000000;0.000000;Eventuri Toyota GR Corolla Carbon Intake - Matte
Eventuri;2238.000000;EVE-GT3RS-INT;90.000000;38.000000;31.000000;4.860000;Eventuri Porsche 991.1 991.2 GT3RS Carbon Intake
Eventuri;1333.000000;EVE-GXXB58-CF-INT;0.000000;0.000000;0.000000;0.000000;Eventuri BMW G01 X3 M40i, G02 X4 M40i Intake System
Eventuri;2210.000000;EVE-HCN-CF-INT;90.000000;38.000000;31.000000;5.600000;Eventuri Lamborghini Huracan Carbon Intake
Eventuri;4350.000000;EVE-HCN-CFM-ENG;0.000000;0.000000;0.000000;0.000000;Eventuri Lamborghini Huracan Carbon Engine Cover Set Matte Finish
Eventuri;1285.000000;EVE-EMV6-CF-INT;92.00000022.000000;;40.000000;5.000000;Eventuri Lotus Emira V6 Supercharged Intake System
Eventuri;1542.000000;EVE-JCWGP3-INT;22.000000;92.000000;39.000000;4.300000;Eventuri Mini JCW GP3 / Clubman / JCW 306HP Carbon Intake
Eventuri;1980.000000;EVE-M2C-CF-INT;91.000000;40.000000;32.000000;6.000000;Eventuri BMW F87 M2 Competition Black Carbon intake
Eventuri;1350.000000;EVE-N20-CF-INT;70.000000;38.000000;26.000000;3.600000;Eventuri BMW N20 120i, 220i, 320i, 328i - Black Carbon Intake
Eventuri;810.000000;EVE-N55-ENG;72.000000;73.000000;22.000000;3.750000;Eventuri BMW N55 Black Carbon Engine Cover
Eventuri;810.000000;EVE-N55-M2-ENG;71.000000;71.000000;22.000000;3.400000;Eventuri BMW F87 M2 Black Carbon Engine Cover
Eventuri;81.000000;EVE-N55-PF;45.000000;25.000000;6.000000;0.900000;Eventuri BMW N55 Panel Filter
Eventuri;1314.000000;EVE-N55V2-CF-INT;91.000000;31.000000;39.000000;5.100000;Eventuri V2 BMW F87 M2, F2X M135i, M235i, F3X 335i, 435i Carbon intake
Eventuri;2238.000000;EVE-P991T-INT;90.000000;38.000000;31.000000;4.860000;Eventuri Porsche 991 Turbo Black Carbon intake
