Manufacturer;Supplier;SKU;NAME;PRICE;PURCHASE;TAGS;META TITLE;META KEYWORDS;VAT;URL REWRITE
Armytrix;Armytrix;DOCHC-C;CHALLENGER RT 15+ ARMYTRIX EXHAUST SYSTEM W/NO TIPS;3480;1740;Armytrix,DOCHC-C,EXHAUST;CHALLENGER RT 15+ ARMYTRIX EXHAUST SYSTEM W/NO TIPS;Armytrix,DOCHC-C,EXHAUST;7;ArmytrixDOCHC-C
Armytrix;Armytrix;DOCHC-QS47C;CHALLENGER RT 15+ ARMYTRIX EXHAUST SYSTEM W/ QUAD CHROME TIPS;3980;1990;Armytrix,DOCHC-QS47C,EXHAUST;CHALLENGER RT 15+ ARMYTRIX EXHAUST SYSTEM W/ QUAD CHROME TIPS;Armytrix,DOCHC-QS47C,EXHAUST;7;ArmytrixDOCHC-QS47C
Armytrix;Armytrix;DOCHC-QS47M;CHALLENGER RT 15+ ARMYTRIX EXHAUST SYSTEM W/QUAD MATTE BLACK TIPS;4280;2140;Armytrix,DOCHC-QS47M,EXHAUST;CHALLENGER RT 15+ ARMYTRIX EXHAUST SYSTEM W/QUAD MATTE BLACK TIPS;Armytrix,DOCHC-QS47M,EXHAUST;7;ArmytrixDOCHC-QS47M
Armytrix;Armytrix;DOCHC-F;CHALLENGER RT 15+ ARMYTRIX DE-CATTED FRONT PIPE;1480;740;Armytrix,DOCHC-F,EXHAUST;CHALLENGER RT 15+ ARMYTRIX DE-CATTED FRONT PIPE;Armytrix,DOCHC-F,EXHAUST;7;ArmytrixDOCHC-F
Armytrix;Armytrix;CZ6C7-QS28C;"CORVETTE C7 
STINGRAY/GRAND SPORT  ARMYTRIX EXHAUST SYSTEM W/ QUAD CHROME TIPS";2980;1490;Armytrix,CZ6C7-QS28C,EXHAUST;"CORVETTE C7 
STINGRAY/GRAND SPORT  ARMYTRIX EXHAUST SYSTEM W/ QUAD CHROME TIPS";Armytrix,CZ6C7-QS28C,EXHAUST;7;ArmytrixCZ6C7-QS28C
Armytrix;Armytrix;CZ6C7-QS28B;"CORVETTE C7 
STINGRAY/GRAND SPORT  ARMYTRIX EXHAUST SYSTEM W/QUAD BLUE COATED TIPS";3240;1620;Armytrix,CZ6C7-QS28B,EXHAUST;"CORVETTE C7 
STINGRAY/GRAND SPORT  ARMYTRIX EXHAUST SYSTEM W/QUAD BLUE COATED TIPS";Armytrix,CZ6C7-QS28B,EXHAUST;7;ArmytrixCZ6C7-QS28B
Armytrix;Armytrix;CZ6C7-QS28M;"CORVETTE C7 
STINGRAY/GRAND SPORT  ARMYTRIX EXHAUST SYSTEM W/QUAD MATTE BLACK TIPS";3280;1640;Armytrix,CZ6C7-QS28M,EXHAUST;"CORVETTE C7 
STINGRAY/GRAND SPORT  ARMYTRIX EXHAUST SYSTEM W/QUAD MATTE BLACK TIPS";Armytrix,CZ6C7-QS28M,EXHAUST;7;ArmytrixCZ6C7-QS28M
Armytrix;Armytrix;"CZ6C7-X
CZ6C7-QS28C";"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX EXHAUST SYSTEM WITH X PIPE W/ QUAD CHROME TIPS";3870;1935;"Armytrix,CZ6C7-X
CZ6C7-QS28C,EXHAUST";"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX EXHAUST SYSTEM WITH X PIPE W/ QUAD CHROME TIPS";"Armytrix,CZ6C7-X
CZ6C7-QS28C,EXHAUST";7;"ArmytrixCZ6C7-X
CZ6C7-QS28C"
Armytrix;Armytrix;"CZ6C7-X
CZ6C7-QS28B";"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX EXHAUST SYSTEM WITH X PIPE W/QUAD BLUE COATED TIPS";4130;2065;"Armytrix,CZ6C7-X
CZ6C7-QS28B,EXHAUST";"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX EXHAUST SYSTEM WITH X PIPE W/QUAD BLUE COATED TIPS";"Armytrix,CZ6C7-X
CZ6C7-QS28B,EXHAUST";7;"ArmytrixCZ6C7-X
CZ6C7-QS28B"
Armytrix;Armytrix;"CZ6C7-X
CZ6C7-QS28M";"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX EXHAUST SYSTEM WITH X PIPE W/QUAD MATTE BLACK TIPS";4170;2085;"Armytrix,CZ6C7-X
CZ6C7-QS28M,EXHAUST";"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX EXHAUST SYSTEM WITH X PIPE W/QUAD MATTE BLACK TIPS";"Armytrix,CZ6C7-X
CZ6C7-QS28M,EXHAUST";7;"ArmytrixCZ6C7-X
CZ6C7-QS28M"
Armytrix;Armytrix;CZ6C7-VD;"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX OEM AFM EXHAUST VALVE DELETE BOX ";80;40;Armytrix,CZ6C7-VD,EXHAUST;"CORVETTE C7 
STINGRAY/GRAND SPORT ARMYTRIX OEM AFM EXHAUST VALVE DELETE BOX ";Armytrix,CZ6C7-VD,EXHAUST;7;ArmytrixCZ6C7-VD
Armytrix;Armytrix;CZ6C7-QS28C;"CORVETTE C7 
Z06 ARMYTRIX EXHAUST SYSTEM W/ QUAD CHROME TIPS";2980;1490;Armytrix,CZ6C7-QS28C,EXHAUST;"CORVETTE C7 
Z06 ARMYTRIX EXHAUST SYSTEM W/ QUAD CHROME TIPS";Armytrix,CZ6C7-QS28C,EXHAUST;7;ArmytrixCZ6C7-QS28C
