id_product;id_product_attribute;old_wholesale_price;old_price;reference;attr_reference;new_wholesale_price;wholesale_price_diff;new_price;price_diff;wholesale_convertion_rate;price_convertion_rate
17761;0;3.000000;4.500000;T50-20-1;;12;9;18;13.5;1.100000;1.200000
17762;0;4.100000;1.150000;T50-10-1;;13.1;9;14.65;13.5;1.100000;1.200000
17763;0;5.200000;2.800000;R10-10-1;;14.2;9;16.3;13.5;1.100000;1.200000
17764;0;6.300000;4.450000;R10-10-2;;15.3;9;17.95;13.5;1.100000;1.200000
17765;0;7.400000;6.100000;R09-10-1;;16.4;9;19.6;13.5;1.100000;1.200000
17766;0;8.500000;7.750000;R09-10-2;;17.5;9;21.25;13.5;1.100000;1.200000
17767;0;9.600000;9.400000;R22-10-1;;18.6;9;22.9;13.5;1.100000;1.200000
17768;0;10.700000;11.050000;R22-10-2;;19.7;9;24.55;13.5;1.100000;1.200000
17769;0;11.800000;12.700000;R13-10-1;;20.8;9;26.2;13.5;1.100000;1.200000
17770;0;12.900000;14.350000;R13-10-2;;21.9;9;27.85;13.5;1.100000;1.200000
17771;0;14.000000;16.000000;R06-10-1;;23;9;29.5;13.5;1.100000;1.200000
17772;0;15.100000;17.650000;R06-10-2;;24.1;9;31.15;13.5;1.100000;1.200000
