reference;attr_reference;purchase;price
801211;8012111;;
801211;8012112;;
801211;8012113;;
801211;8012114;;
801211;8012115;;
801650;;;
801651;;;
801652;;;
801653;;;
801654;;;
801634;;;
801635;;;
M-FI/SS/1H;;;
TP-CS/1;;;
TP-T/S/2;;;
P-HF876;;;
M-FI/SS/1H/1;;;
S-AR/TI/1H;;;
P-X227;;;
P-HF1160;;;
E-AR/T/1;;;
DP-AR/SS/2;;;
S-AR/TI/7H;;;
S-AR/TI/6H;;;
P-HF1321;;;
P-HF880;;;
S-AUR8SO3-T;;;
P-HF946;;;
DI-AU/CA/2/G;;;
P-HF1433;;;
S-AU/TI/24H;;;
S-AU/TI/23H;;;
S-AU/TI/3H;;;
S-AU/T/2H;;;
DI-AU/CA/1/M;;;
DI-AU/CA/1/G;;;
L-AU/SS/6;;;
P-HF1282;;;
S-AU/T/1H;;;
L-AU/SS/8/1;;;
S-AU/TI/4H;;;
P-HF1284;;;
S-AU/TI/20H;;;
P-HF1369;;;
S-AU/TI/18H;;;
S-AU/TI/17H;;;
P-HF877;;;
S-AU/TI/6H;;;
ME-BM/T/3;;;
TP-CT/5;;;
M-BM/T/4H;;;
P-HF878;;;
MTP-BM/SS/1H;;;
E-BM/SS/1;;;
E-BM/SS/2;;;
MTP-BM/SS/2H;;;
WM-BM/CA/1/M;;;
WM-BM/CA/1/G;;;
P-HF1179;;;
S-BM/T/6H;;;
S-BM/T/15H;;;
P-HF1312;;;
E-BM/SS/6;;;
E-BM/SS/3;;;
MTP-BM/SS/3H;;;
S-BM/T/5H;;;
P-HF1185;;;
P-HF977;;;
ME-BM/T/8H;;;
DP-BM/SS/4/H;;;
DP-BM/SS/4;;;
DI-BM/CA/3/M;;;
DI-BM/CA/3/G;;;
P-HF1177;;;
DP-BM/SS/3;;;
S-BM/T/3H;;;
E-BM/T/5;;;
WM-BM/CA/2/G;;;
WM-BM/CA/2/M;;;
DI-BM/CA/10/G;;;
DI-BM/CA/10/M;;;
E-BM/SS/9;;;
P-HF1384;;;
E-BM/T/12;;;
WI-BM/CA/1/G;;;
P-HF1523;;;
TP-CT/69;;;
TP-CT/68;;;
WM-BM/CA/4/M;;;
WM-BM/CA/4/G;;;
WI-BM/CA/1/CF;;;
WM-BM/CA/5/CF;;;
TP-CT/73/CF;;;
DP-BM/SS/9;;;
DI-BM/CA/10/CF;;;
DP-BM/SS/8;;;
S-BM/T/34H;;;
S-BM/T/26H;;;
P-HF1385;;;
MTP-BM/SS/4H;;;
S-BM/T/8H;;;
S-BM/T/32H;;;
P-HF1452;;;
TP-CT/3;;;
ME-BM/T/2;;;
E-BM/T/3;;;
TP-T/S/8;;;
TP-CT/26;;;
DI-BM/CA/1;;;
M-BM/T/8H;;;
DI-BM/CA/4/G;;;
P-HF1100;;;
DI-BM/CA/9/CF;;;
S-BM/TI/33H;;;
P-HF1481;;;
DI-BM/CA/9/GB;;;
DI-BM/CA/9/G;;;
DP-TY/SS/1;;;
P-HF1351;;;
E-BM/SS/8;;;
S-BM/T/30H;;;
S-BM/T/4H;;;
E-BM/T/6;;;
P-HF1194;;;
P-HF1482;;;
S-BM/T/31H;;;
TP-CT/10;;;
ME-BM/T/4;;;
TP-T/S/5;;;
S-BM/T/2H;;;
DI-BM/CA/5/M/RS;;;
WM-BM/CA/3/M;;;
WM-BM/CA/3/G;;;
DI-BM/CA/5/G/RS;;;
P-HF1132;;;
TP-CT/47/RS;;;
S-BM/T/7H;;;
S-BM/T/27H;;;
ME-BM/T/5;;;
ME-BM/T/6H;;;
S-BM/T/23;;;
DI-BM/CA/7/G;;;
P-HF1263;;;
DI-BM/CA/7/M;;;
E-BM/T/9;;;
S-BM/T/22H;;;
S-BM/T/25;;;
E-BM/T/10;;;
S-BM/T/24H;;;
S-BM/T/10H;;;
TP-CT/59;;;
P-HF1255;;;
S-BM/T/29H;;;
P-HF1424;;;
DI-BM/CA/6;;;
TP-CT/60;;;
P-HF947;;;
S-BM/T/1;;;
DI-BM/CA/2;;;
S-BM/T/16H;;;
P-HF1310;;;
DI-BM/CA/8/M;;;
DI-BM/CA/8/G;;;
P-HF1549;;;
S-BM/T/35H;;;
S-BM/T/28H;;;
S-BM/T/36H;;;
P-HF1553;;;
E-TY/SS/1;;;
S-BM/T/9H;;;
E-TY/SS/2;;;
DP-TY/SS/2;;;
L-CO/SS/1;;;
L-CO/SS/2;;;
S-CO/TI/4;;;
S-CO/TI/1;;;
P-HF868;;;
P-HF886;;;
MTP-CO/TI/2;;;
S-CO/TI/2;;;
TP-NIR35C;;;
TP-CT/1;;;
P-HF1479;;;
S-CU/TI/1H;;;
S-FE/T/2;;;
L-FE/SS/4;;;
MTP-FE458H;;;
L-FE/SS/2;;;
MTP-FE488H;;;
L-FE/SS/1;;;
P-HF1082;;;
S-FE/T/1;;;
TP-CT/7;;;
M-LA/T/4;;;
TP-CT/8;;;
MTP-LA/TI/2;;;
S-MC/TI/3;;;
S-MC/TI/2;;;
E-ME/SS/1;;;
S-ME/TI/9H;;;
S-ME/TI/6H;;;
S-ME/TI/11;;;
P-HF1298;;;
S-ME/T/1H;;;
DP-ME/SS/3;;;
P-HF1296;;;
L-ME/SS/3;;;
P-HF1528;;;
DP-ME/SS/3/1;;;
P-HF949;;;
E-ME/T/3;;;
P-HF985;;;
MTP-ME/T/3H;;;
MTP-ME/T/2H/1;;;
S-ME/TI/10H;;;
S-ME/TI/12H;;;
S-ME/T/6H;;;
S-ME/TI/1H/1;;;
P-HF1044;;;
MTP-ME/T/5H;;;
E-ME/T/5;;;
TP-CT/46/M;;;
TP-CT/46/G;;;
P-HF1129;;;
S-ME/TI/2H;;;
P-HF841/2;;;
P-HF1225;;;
S-ME/TI/5/1;;;
S-ME/TI/17;;;
S-ME/TI/4/1;;;
S-ME/T/3;;;
S-ME/T/2;;;
S-ME/TI/16H;;;
S-ME/TI/16H/1;;;
P-HF1411;;;
S-ME/T/7H;;;
S-ME/TI/14H/1;;;
S-ME/T/8H;;;
S-ME/TI/15H/1;;;
S-MESLSAMG/1;;;
TP-MINR56/57-CA;;;
ME-MIN/TI/1H;;;
DP-MINR56/57;;;
M-NIZ34H;;;
TP-NIZ34-C;;;
M-NI/T/1H;;;
ME-NI/T/1;;;
S-NI/TI/1;;;
DP/L-NI/SS/1;;;
L-NI/SS/4;;;
S-PO/TI/18;;;
L-PO/T/13;;;
TP-T/S/28;;;
DI-PO/CA/8/M;;;
P-HF1293;;;
DI-PO/CA/8/G;;;
S-PO/TI/18/1;;;
L-PO/T/13/1;;;
TP-T/S/27;;;
DI-PO/CA/10/G;;;
DI-PO/CA/10/M;;;
S-PO/TI/24;;;
L-PO/T/17;;;
E-PO/T/8;;;
P-HF1496;;;
DI-PO/CA/8/G/1;;;
DI-PO/CA/8/M/1;;;
S-PO/TI/5H;;;
P-HF1065;;;
DI-PO/CA/3;;;
DI-PO/CA/3/G;;;
L-PO/SS/1H;;;
P-HF874;;;
S-PO991SO-HT/1;;;
P-HF870;;;
L-PO/SS/3;;;
S-PO/TI/14;;;
DI-PO/CA/1;;;
TP-PO991GT3/BOX;;;
MTP-PO997GT3H/1;;;
TP-PO997GT3H;;;
TP-T/S/19;;;
S-PO/TI/8;;;
E-PO/T/5;;;
L-PO997GT3CSET;;;
E-PO/T/4;;;
TP-T/S/17/H;;;
S-PO/TI/10H;;;
DI-PO/CA/6/M;;;
DI-PO/CA/6/G;;;
TP-T/S/17;;;
S-PO/TI/23;;;
DI-PO/CA/9/G;;;
DI-PO/CA/9/M;;;
E-PO/T/7;;;
P-CP034;;;
TP-PO991RS/H/T;;;
TP-T/S/19/H;;;
DI-PO/CA/7/G;;;
S-PO/TI/15;;;
E-PO/T/6/1;;;
E-PO/T/9;;;
S-PO/TI/6H;;;
L-PO/SS/2H;;;
DI-PO/CA/4/M;;;
DI-PO/CA/4/G;;;
L-PO/SS/4;;;
P-X277;;;
S-PO/TI/19;;;
TP-T/S/33;;;
TP-T/S/34;;;
S-PO991TSO-HT;;;
DI-PO/CA/2;;;
L-PO991T/2;;;
P-HF964;;;
S-PO981SO-HT/1;;;
S-PO981SO2-HT;;;
L-PO/T/7;;;
S-PO/TI/12;;;
P-HF1199;;;
TP-CT/53;;;
TP-T/S/23;;;
S-PO/TI/11H;;;
L-PO/T/3;;;
E-PO/T/3;;;
S-PO/TI/20;;;
L-PO/T/4;;;
P-HF1003;;;
S-PO/TI/17H;;;
S-PO/TI/7H;;;
DI-PO/CA/5/G;;;
P-HF1228;;;
P-HF641;;;
TP-CT/48;;;
P-HF1149;;;
S-PO/TI/13;;;
S-PO/TI/16;;;
S-PO/TI/9H;;;
P-HF1170;;;
P-HF871;;;
L-RECL3RS/1;;;
MTP-RECL3RSH;;;
S-RE/T/1;;;
S-RE/T/4H;;;
L-RE/T/2;;;
S-TY/T/2;;;
E-TY/SS/3;;;
S-TY/T/1H;;;
TP-VWGMK6-CA;;;
MTP-VW/T/1H;;;
DI-VW/CA/1;;;
MTP-VW/T/2;;;
MTP-VW/T/4H;;;
MTP-VW/T/3H;;;
801528;;;
801746;;;
801747;;;
801748;;;
801749;;;
801750;;;
802054;;;
802055;;;
802056;;;
802057;;;
802058;;;
802059;;;
802060;;;
802061;;;
802062;;;
802063;;;
802064;;;
802065;;;
802066;;;
802282;;;
802283;;;
802294;;;
801615;;;
800475;;;
801076;;;
801078;;;
801079;;;
801442;;;
801443;;;
801444;;;
801445;;;
801605;;;
801650;;;
801651;;;
801652;;;
801653;;;
801654;;;
801634;;;
801635;;;
801636;;;
801637;;;
801638;;;
801639;;;
801514;;;
802130;;;
802131;;;
802132;;;
802133;;;
802134;;;
802135;;;
802136;;;
802137;;;
802138;;;
802139;;;
802140;;;
802141;;;
802142;;;
802143;;;
802144;;;
802145;;;
802146;;;
802147;;;
802148;;;
802149;;;
802150;;;
802151;;;
802152;;;
802153;;;
802154;;;
802155;;;
802067;;;
802068;;;
802069;;;
802070;;;
802071;;;
802072;;;
802073;;;
802074;;;
802075;;;
802076;;;
802077;;;
802078;;;
802079;;;
802080;;;
802081;;;
802082;;;
802083;;;
802084;;;
802085;;;
802086;;;
802087;;;
802088;;;
802089;;;
802090;;;
802091;;;
802092;;;
802041;;;
802042;;;
802043;;;
802044;;;
802045;;;
802046;;;
802047;;;
801219;;;
801220;;;
801221;;;
801222;;;
801223;;;
801224;;;
801206;;;
801207;;;
801208;;;
801209;;;
801210;;;
801212;;;
801213;;;
801758;;;
801761;;;
801762;;;
801763;;;
801772;;;
801773;;;
801776;;;
801777;;;
801778;;;
801752;;;
801753;;;
801754;;;
801755;;;
801756;;;
801757;;;
801782;;;
801764;;;
801765;;;
801766;;;
801214;;;
801215;;;
801216;;;
801217;;;
801218;;;
801225;;;
801226;;;
801227;;;
801228;;;
801229;;;
802048;;;
802049;;;
802050;;;
802051;;;
802052;;;
802053;;;
802208;;;
802209;;;
802210;;;
802211;;;
802212;;;
802213;;;
802214;;;
802215;;;
802216;;;
802217;;;
802218;;;
802219;;;
802220;;;
802221;;;
802222;;;
802223;;;
802224;;;
802225;;;
802226;;;
802227;;;
802228;;;
802229;;;
802230;;;
802231;;;
802232;;;
802233;;;
802310;;;
802344;;;
802040;;;
802122;;;
802286;;;
